model_a,model_b,feature,cohens_d,mean_a,mean_b
chatgpt,claude,ttr,1.4624214641718989,0.6853691428571428,0.6186702857142858
chatgpt,claude,mtld,1.673281287037208,195.73222857142855,111.58234285714286
chatgpt,claude,hapax_ratio,1.162668437496289,0.5538774285714285,0.47800314285714285
chatgpt,claude,avg_word_length,0.9617044704925587,5.169371428571428,4.735571428571428
chatgpt,claude,word_length_std,-0.2978047390547777,2.353742857142857,2.4424
chatgpt,claude,long_word_ratio,0.8545789497739381,0.2909897142857143,0.22832885714285714
chatgpt,claude,yule_k,-0.8412318392542298,93.18082857142856,125.5700285714286
chatgpt,claude,pos_noun_ratio,0.7337384788146384,0.26233000000000006,0.22114085714285714
chatgpt,claude,pos_verb_ratio,0.7031228413637703,0.15898085714285715,0.14190742857142855
chatgpt,claude,pos_adj_ratio,0.5019677772253861,0.09492114285714286,0.07862314285714286
chatgpt,claude,pos_adv_ratio,1.1073286593997813,0.0825257142857143,0.05956314285714285
chatgpt,claude,pos_pron_ratio,-0.714498596884622,0.07796342857142856,0.121216
chatgpt,claude,pos_det_ratio,-0.7403120895612382,0.094898,0.12012514285714287
chatgpt,claude,pos_adp_ratio,0.18970562350547165,0.11149542857142858,0.10635914285714286
chatgpt,claude,pos_cconj_ratio,0.039955890968728536,0.027156000000000003,0.026662857142857144
chatgpt,claude,pos_sconj_ratio,0.31029445934189076,0.01942857142857143,0.016668571428571425
chatgpt,claude,pos_aux_ratio,-1.5366836370832628,0.031270571428571425,0.05969457142857142
chatgpt,claude,pos_part_ratio,-0.7151718376321567,0.012623142857142857,0.020734000000000002
chatgpt,claude,pos_intj_ratio,0.20990053852412113,0.0023499999999999997,0.0014831428571428571
chatgpt,claude,pos_num_ratio,-0.5812377758742803,0.006358,0.010846857142857144
chatgpt,claude,pos_propn_ratio,0.16877994251752684,0.0177,0.014977428571428574
chatgpt,claude,avg_sent_length,-0.023515614582323284,12.661114285714284,12.771142857142857
chatgpt,claude,std_sent_length,-1.282810815892481,5.711571428571427,9.206742857142856
chatgpt,claude,num_sentences,0.18245776793771049,25.17142857142857,23.057142857142857
chatgpt,claude,num_words,0.7543629742338405,261.8,253.4857142857143
chatgpt,claude,max_dep_depth,0.0,101.0,101.0
chatgpt,claude,mean_dep_depth,0.0,101.0,101.0
chatgpt,claude,flesch_reading_ease,-0.3664622100822338,56.99371428571429,63.99028571428571
chatgpt,claude,flesch_kincaid_grade,0.2382361427276897,8.560742857142857,7.744342857142858
chatgpt,claude,gunning_fog,-0.051846904000979376,9.498400000000002,9.706714285714286
chatgpt,claude,smog_index,0.015988913888539652,10.330428571428572,10.286657142857145
chatgpt,claude,dale_chall,0.8735238965722653,9.821428571428571,8.507314285714287
chatgpt,claude,discourse_marker_count,0.9183184709241785,1.0285714285714285,0.14285714285714285
chatgpt,claude,discourse_marker_rate,0.9143972933640493,0.3927828571428571,0.054931428571428575
chatgpt,claude,punct_comma,-0.13657688162376827,0.9957571428571429,1.033877142857143
chatgpt,claude,punct_period,0.02593033171490916,1.4874885714285715,1.469317142857143
chatgpt,claude,punct_semicolon,0.12746028403431425,0.003462857142857143,0.00184
chatgpt,claude,punct_colon,-0.5909972939109813,0.014071428571428572,0.04031428571428572
chatgpt,claude,punct_question,0.21575212519489537,0.06744000000000001,0.04126285714285714
chatgpt,claude,punct_exclamation,0.0,0.0,0.0
chatgpt,claude,punct_dash,-1.8398635853517558,0.04777142857142858,0.19699999999999998
chatgpt,claude,punct_hyphen,-0.40498286577976966,0.03643714285714286,0.059277142857142855
chatgpt,claude,punct_quote,-0.4863770505330328,0.12123142857142857,0.5632600000000001
chatgpt,claude,punct_single_quote,-1.0339704203426352,0.02131142857142857,0.2833628571428572
chatgpt,claude,punct_ellipsis,0.3431257405397141,0.0032800000000000004,0.0
chatgpt,claude,punct_total,-0.5573694708826468,2.7982485714285716,3.6895400000000005
chatgpt,claude,fw_a,-1.21781721966203,0.015535428571428572,0.027900285714285714
chatgpt,claude,fw_about,-0.37965225569347705,0.0012154285714285715,0.0024965714285714287
chatgpt,claude,fw_above,0.3073725789176551,0.0014217142857142857,0.0006671428571428573
chatgpt,claude,fw_after,0.5559760425839597,0.0015185714285714286,0.0004477142857142857
chatgpt,claude,fw_again,0.21303389280893575,0.0013914285714285717,0.000902
chatgpt,claude,fw_all,0.16767136630427856,0.0012122857142857141,0.0008997142857142856
chatgpt,claude,fw_am,-0.4053091556411567,0.00011771428571428573,0.0005714285714285716
chatgpt,claude,fw_an,-0.6210398083474977,0.0014097142857142856,0.0032385714285714283
chatgpt,claude,fw_and,0.11937336963681341,0.021417714285714283,0.020136285714285714
chatgpt,claude,fw_any,-0.14136669478278677,0.00010571428571428572,0.00021371428571428572
chatgpt,claude,fw_are,-0.3078869101903764,0.002933714285714286,0.004464571428571428
chatgpt,claude,fw_as,0.4081509894342268,0.005206,0.003264285714285714
chatgpt,claude,fw_at,-0.5012291767855388,0.005882857142857144,0.008425428571428573
chatgpt,claude,fw_be,-0.4760395315845039,0.0014019999999999998,0.0028274285714285714
chatgpt,claude,fw_because,-0.07196470130577307,0.0017254285714285713,0.001928857142857143
chatgpt,claude,fw_been,-0.6698134540524515,0.0008771428571428572,0.003573428571428572
chatgpt,claude,fw_before,0.2459695329768955,0.0033931428571428567,0.0024888571428571425
chatgpt,claude,fw_being,-0.823924040631245,0.0002157142857142857,0.0020434285714285715
